Transaction Date,Transaction Amount,Full Description,Date,Amount,Details
10/30/2024,-30.39,WM SUPERCENTER #1538 BROOKINGS SD,,,
10/29/2024,-47,THE LANES #607 BOOKINGS SD,,,
10/28/2024,-50,CASEYS #2419 BROOKINGS SD,,,
10/28/2024,-1743.73,NCOURT*SDMINNEHAHASWP RPARK HILLS CA,,,
10/26/2024,-16.78,WM SUPERCENTER #1538 BROOKINGS SD,,,
10/25/2024,-32.9,PARTY DEPOT BROOKINGS SD,,,
10/25/2024,-6.36,APPLE.COM/BILL 866-712-7753 CA,,,
10/25/2024,-10.56,WAL-MART #1538 BROOKINGS SD,,,
10/25/2024,-10.62,RUNNINGS OF BROOKINGS BROOKINGS SD,,,
10/24/2024,918.98,ONLINE PAYMENT THANK YOU,,,
10/24/2024,-23.37,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
10/23/2024,-46.63,WM SUPERCENTER #1538 BROOKINGS SD,,,
10/23/2024,-14.84,T.J. MAXX #1616 BROOKINGS SD,,,
10/21/2024,-21.24,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA,,,
10/20/2024,-12.7,STUB GAS & OIL WIGGINS CO,,,
10/20/2024,-21,FUEL MART 645 SPENCER SD,,,
10/20/2024,-50,PHILLIPS 66 - TIMESAVER 3NORTH PLATTE NE,,,
10/19/2024,-54,BUC-EE'S #60 BETHOUD CO,,,
10/19/2024,-32.01,BUC-EE'S #60 BETHOUD CO,,,
10/19/2024,-10.81,LS THE WRIGHT LIFE 970-4846932 CO,,,
10/18/2024,-43.22,COLORADO STATE UNIVERSITYFORT COLLINS CO,,,
10/18/2024,-10.62,IN-N-OUT LOVELAND LOVELAND CO,,,
10/18/2024,-40,MURPHY EXPRESS 8732 THORNTON CO,,,
10/17/2024,-3.24,COSTCO WHSE #0676 ARVADA CO,,,
10/17/2024,-44.44,"SQ *PIECE, LOVE & CHOCOLABoulder CO",,,
10/16/2024,-30,SUPER FOODS GAS DUBOIS WY,,,
10/16/2024,-5.71,BURGER KING #17794 MRODRIGUEZ@RBWY,,,
10/16/2024,-29.58,ROCKY MOUNTAIN SUPPLY-BE BELGRADE MT,,,
10/16/2024,-50,MAVERIK #668 LARAMIE WY,,,
10/15/2024,-60,EXXON LOLO 2 #1310 LOLO MT,,,
10/15/2024,-6.5,SQ *CLYDE COFFEE Missoula MT,,,
10/15/2024,-10.09,WENDY'S 15003 BOZEMAN MT,,,
10/14/2024,-7.5,TST*LA CAMIONNETTE COFFE Bozeman MT,,,
10/14/2024,-1.88,WM SUPERCENTER #2147 MISSOULA MT,,,
10/14/2024,-25.41,WM SUPERCENTER #2147 MISSOULA MT,,,
10/14/2024,-8.5,B WELL BROOKINGS 605-3594027 SD,,,
10/14/2024,-16.8,TST* GHOST TOWN COFFEE ROBOZEMAN MT,,,
10/14/2024,-30,CONOCO - BOZEMAN 8 1095 BOZEMAN MT,,,
10/13/2024,-4.5,ZEKE'S LITTLE STORE BOZEMAN MT,,,
10/13/2024,-34.99,SPORTSMANS WAREHOUSE INC BOZEMAN MT,,,
10/13/2024,-18,REI #136 BOZEMAN BOZEMAN MT,,,
10/13/2024,-17.99,EXXON BELGRADE 2 #1013 BELGRADE MT,,,
10/13/2024,-20.55,WM SUPERCENTER #2084 BOZEMAN MT,,,
10/12/2024,-43.05,CENEX-CBH CO-OP BELLE FOURCHESD,,,
10/12/2024,-2.99,McDonalds 7736 STURGIS SD,,,
10/12/2024,-50,EXXON COLUMBUS #1151 COLUMBUS MT,,,
10/12/2024,-11.17,WAL-MART #1956 BILLINGS MT,,,
10/11/2024,-53.18,PILOT 599 MURDO SD,,,
10/11/2024,-7.31,WM SUPERCENTER #1543 SPEARFISH SD,,,
10/11/2024,-30,CASEYS #3872 SIOUX FALLS SD,,,
10/10/2024,433.93,ONLINE PAYMENT THANK YOU,,,
10/8/2024,-4.81,CULVERS OF BROOKINGS BROOKINGS SD,,,
10/7/2024,-10.38,TROPICAL SMOOTHIE CAFE SDBROOKINGS SD,,,
10/6/2024,-21.24,SQ *CELL PHONE REPAIR SIOSioux Falls SD,,,
10/6/2024,-4,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
10/5/2024,-50,CASEYS #1694 BROOKINGS SD,,,
10/5/2024,-8.89,CAPRIOTTIS SANDWICH SHOP SIOUX FALLS SD,,,
10/4/2024,-7.43,LS BLUESTEM BICYCLES 605-6922453 SD,,,
10/4/2024,-22,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
10/3/2024,149,Datacamp Inc. 929-3529727 NY,,,
10/2/2024,-7.81,CULVERS OF BROOKINGS BROOKINGS SD,,,
10/1/2024,-16,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
9/30/2024,-6.38,SQ *KOOL BEANS COFFEE ANDBrookings SD,,,
9/29/2024,-39.57,SQ *COTTONWOOD COFFEE INCBrookings SD,,,
9/29/2024,-18.22,WAL-MART #1538 BROOKINGS SD,,,
9/29/2024,-3.87,WM SUPERCENTER #1538 BROOKINGS SD,,,
9/29/2024,-5.36,ARBYS 7987 BROOKINGS SD,,,
9/28/2024,-149,Datacamp Inc. 929-3529727 NY,,,
9/28/2024,-13.5,Subway 10074 Brookings SD,,,
9/28/2024,-107.55,AXS.COMTOURING EVENT3 888-929-7849 CA,,,
9/27/2024,-4.28,TROPICAL SMOOTHIE CAFE SDBROOKINGS SD,,,
9/27/2024,-6.65,SQ *KOOL BEANS COFFEE ANDBrookings SD,,,
9/26/2024,225.36,ONLINE PAYMENT THANK YOU,,,
9/26/2024,107.04,ONLINE PAYMENT THANK YOU,,,
9/26/2024,-46.26,APPLEBEES 9819 BROOKINGS SD,,,
9/26/2024,-169.92,Scheels All Sports Inc Fargo ND,,,
9/26/2024,-14.5,WAL-MART #1538 BROOKINGS SD,,,
9/26/2024,-5.69,WM SUPERCENTER #1538 BROOKINGS SD,,,
9/25/2024,-9.54,LOWES #02435* BROOKINGS SD,,,
9/25/2024,-6.36,APPLE.COM/BILL 866-712-7753 CA,,,
9/25/2024,-49.08,WM SUPERCENTER #1538 BROOKINGS SD,,,
9/24/2024,-29.35,WM SUPERCENTER #1538 BROOKINGS SD,,,
9/24/2024,-23.67,3203 GREAT CLIPS AT VILLABROOKINGS SD,,,
9/23/2024,-30,SQ *ACTIVESPINE SIOUX FALLS SD,,,
9/23/2024,-8,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
9/22/2024,-7.41,LOWES #02435* BROOKINGS SD,,,
9/22/2024,-7,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
9/22/2024,-7.43,BOZIED CAR WASH BROOKINGS SD,,,
9/21/2024,-6.38,QDOBA #2600 BROOKINGS CA,,,
9/21/2024,-21.24,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA,,,
9/19/2024,-14.33,TROPICAL SMOOTHIE CAFE SDBROOKINGS SD,,,
9/19/2024,-21.22,T.J. MAXX #1616 BROOKINGS SD,,,
9/19/2024,-6,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
9/19/2024,74.99,ULTIMATE GUITAR USA LLC 415-599-4620 CA,,,
9/18/2024,224.15,ONLINE PAYMENT THANK YOU,,,
9/16/2024,860.45,ONLINE PAYMENT THANK YOU,,,
9/16/2024,-19.63,WAL-MART #1538 BROOKINGS SD,,,
9/16/2024,-13.3,SPO*STENSLANDFAMILYFARMS-SIOUX FALLS SD,,,
9/15/2024,-113.62,GUITARCENTER.COM CALL CT 866-498-7882 UT,,,
9/15/2024,-27.6,GUITAR CENTER #370 SIOUX FALLS SD,,,
9/15/2024,-50,CASEYS #2419 BROOKINGS SD,,,
9/12/2024,-7.8,CULVERS OF BROOKINGS BROOKINGS SD,,,
9/12/2024,-3.94,SQ *KOOL BEANS COFFEE ANDBrookings SD,,,
9/11/2024,-21.3,WAL-MART #1538 BROOKINGS SD,,,
9/10/2024,-20.22,TROPICAL SMOOTHIE CAFE SDBROOKINGS SD,,,
9/10/2024,-23.56,WM SUPERCENTER #1538 BROOKINGS SD,,,
9/10/2024,-26.54,PHILLIPS 66 - CORNER PANTBROOKINGS SD,,,
9/8/2024,-21.23,APPLE.COM/BILL 866-712-7753 CA,,,
9/8/2024,-17.49,WM SUPERCENTER #1538 BROOKINGS SD,,,
9/7/2024,-50,CENEX- ZIP TRIP #63 BROOKINGS SD,,,
9/7/2024,-2.96,CENEX- ZIP TRIP #63 BROOKINGS SD,,,
9/5/2024,-6.38,SQ *KOOL BEANS COFFEE ANDBrookings SD,,,
9/4/2024,-7.05,CULVERS OF BROOKINGS BROOKINGS SD,,,
9/3/2024,-17,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
9/3/2024,-74.99,ULTIMATE GUITAR USA LLC 4155994620 CA,,,
9/2/2024,-63,Amazon.com*RK8CC57G0 Amzn.com/billWA,,,
9/2/2024,-5.28,WM SUPERCENTER #1538 BROOKINGS SD,,,
9/2/2024,-60.5,T.J. MAXX #1616 BROOKINGS SD,,,
9/2/2024,-4,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
9/1/2024,-195,GUITAR CENTER #370 SIOUX FALLS SD,,,
9/1/2024,-53.08,GUITAR CENTER #370 SIOUX FALLS SD,,,
9/1/2024,-11.23,COLD STONE CREAMERY #2 605-3765515 SD,,,
8/31/2024,-60,CASEYS #2419 BROOKINGS SD,,,
8/31/2024,-30.59,COUNTY FAIR FOOD ST DELL RAPIDS SD,,,
8/30/2024,-40.71,WM SUPERCENTER #1538 BROOKINGS SD,,,
8/29/2024,-2.07,SQ *WOODEN LEGS BREWING CBrookings SD,,,
8/29/2024,-7.35,SQ *KOOL BEANS COFFEE ANDBrookings SD,,,
8/29/2024,-7.18,WAL-MART #1538 BROOKINGS SD,,,
8/29/2024,-20,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
8/28/2024,2140.98,ONLINE PAYMENT THANK YOU,,,
8/27/2024,-7.4,PETRO GAS FARGO ND,,,
8/27/2024,-47.78,mcafee.com/autorenewal 866-6223911 CA,,,
8/26/2024,-7.46,TACO BELL 737581 FARGO ND,,,
8/26/2024,-6.62,MARATHON PETRO272195 WATERTOWN SD,,,
8/26/2024,-50,CONCERT MERCHANDISE PLANO TX,,,
8/25/2024,-6.36,APPLE.COM/BILL 866-712-7753 CA,,,
8/25/2024,-15.94,SPO*STENSLANDFAMILYFARMS-SIOUX FALLS SD,,,
8/24/2024,-95.57,GUITARCENTER.COM CALL CT 866-498-7882 UT,,,
8/24/2024,-30.74,LOWES #02435* BROOKINGS SD,,,
8/24/2024,-20,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
8/23/2024,-179.51,AMAZON MKTPL*R40M39TN0 Amzn.com/billWA,,,
8/23/2024,-65,CASEYS #2196 WEBSTER SD,,,
8/22/2024,-11.14,WAL-MART #1538 BROOKINGS SD,,,
8/21/2024,-5.29,SQ *KOOL BEANS COFFEE ANDBrookings SD,,,
8/21/2024,-21.24,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA,,,
8/21/2024,-35.95,WAL-MART #1538 BROOKINGS SD,,,
8/21/2024,-10.73,WM SUPERCENTER #1538 BROOKINGS SD,,,
8/20/2024,-90.88,Scheels Sioux Falls Sioux Falls SD,,,
8/19/2024,-215.64,COSTCO WHSE #1159 SIOUX FALLS SD,,,
8/19/2024,-321.88,DOUBLE TREE BY HILTON MI MINNEAPOLIS MN,,,
8/18/2024,-20,C RAMP 8068 MINNEAPOLIS MN,,,
8/18/2024,-5.45,ORPHEUM LOT MINNEAPOLIS MN,,,
8/18/2024,-60,740 S 4TH ST 7130 MINNEAPOLIS MN,,,
8/18/2024,-45.98,AMK USBS CONCESSIONS MINNEAPOLIS MN,,,
8/18/2024,-92.26,METALLICA-POP UP 165-02396947 CA,,,
8/16/2024,-5.83,DEERE CAFE JOHNSTON IA,,,
8/16/2024,-11.01,CULVERS OF URBANDALE URBANDALE IA,,,
8/16/2024,-403.2,TOWNEPLACE SUITES URBA URBANDALE IA,,,
8/16/2024,-55,CASEYS #3606 URBANDALE IA,,,
8/16/2024,-5,FREDDY'S 50-0009 GRIMES IA,,,
8/16/2024,-8,FREDDY'S 50-0009 GRIMES IA,,,
8/16/2024,-5.23,STARBUCKS 09558 JOHNSTON IA,,,
8/15/2024,976.28,ONLINE PAYMENT THANK YOU,,,
8/15/2024,-12.44,DEERE CAFE JOHNSTON IA,,,
8/15/2024,-7.05,STARBUCKS STORE 09558 JOHNSTON IA,,,
8/15/2024,-19.04,BLAZE PIZZA #1315 WDM IA,,,
8/14/2024,-8.38,DEERE DTO CAFE 402-290-3379 IA,,,
8/14/2024,-0.25,DSM PARKING METERS DES MOINES IA,,,
8/14/2024,-9.47,STARBUCKS STORE 09558 JOHNSTON IA,,,
8/14/2024,-13.62,JIMMY JOHNS # 1200 DES MOINES IA,,,
8/14/2024,-34.28,TST* BIG GROVE BREWERY - DES MOINES IA,,,
8/14/2024,-65,IOWA STATE FAIR DES MOINES IA,,,
8/13/2024,-9.36,TST*LUA BREWING COMPANY Des Moines IA,,,
8/12/2024,-4.23,DEERE CAFE JOHNSTON IA,,,
8/12/2024,-10,CATTLEMENS BEEF QUARTERS DES MOINES IA,,,
8/12/2024,-12,IOWA STATE FAIR DES MOINES IA,,,
8/12/2024,-8,VEGGIE TABLE CHICAGO IL,,,
8/12/2024,-16,IOWA STATE FAIR 515-262-3111 IA,,,
8/12/2024,-20,ISF COOKIE BUILDING PLEASANT HILLIA,,,
8/11/2024,-53.25,KWIK STAR #215 DAVENPORT IA,,,
8/11/2024,-12.82,KFC C029066 FORT DODGE IA,,,
8/11/2024,-6.19,CASEYS #3294 URBANA IA,,,
8/11/2024,-6.88,CASEYS #3285 DELL RAPIDS SD,,,
8/11/2024,-47,CASEYS #3285 DELL RAPIDS SD,,,
8/10/2024,-50,CASEYS #3285 DELL RAPIDS SD,,,
8/10/2024,-318.59,MENS WEARHOUSE #4141 SIOUX FALLS SD,,,
8/10/2024,-50.96,MIDWAY SERVICE BALTIC SD,,,
8/10/2024,-7.5,TACO JOHNS 9766 SIOUX FALLS SD,,,
8/8/2024,-5.35,McDonalds 22314 SIOUX FALLS SD,,,
8/8/2024,-140,SIOUX EMPIRE FAIR ASSOC 605-367-7178 SD,,,
8/7/2024,-15,CASEYS #3285 DELL RAPIDS SD,,,
