Date,Code,Type,Category,Details,Amount
11/4/2022,DEP,Income,Transfer from Other,Tranfer from Dad (House Payment mistake),1500
11/10/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,199.47
11/14/2022,POS,Expenses,Gas & Misc.,"Venmo for gas to Regionals XC Meet Columbia, MO (Nate Notgrass)",45
11/16/2022,POS,Expenses,Rent,Venmo for first half of house deposit for the house (Daniel Burkhalter),175
11/22/2022,POS,Expenses,Other,Accidental transfer from savings,100
11/23/2022,POS,Expenses,Dining Out,Venmo for breakfast (Jane Doe),5
11/23/2022,POS,Expenses,Dining Out,Venmo for breakfast (Jane Doe),5
11/23/2022,POS,Expenses,Dining Out,Venmo for breakfast (Jane Doe),5
11/23/2022,POS,Expenses,Dining Out,Venmo for breakfast (Jane Doe),5
11/25/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,294.66
11/25/2022,DEP,Income,Transfer from Other,Venmo cashout,22.6
12/1/2022,DEP,Income,Transfer from Other,Venmo cashout,10
12/1/2022,POS,Expenses,Other,Venmo for Project Joy (Ben Olson),10
12/2/2022,POS,Expenses,Other,Wrote a check to Clerk of Courts (speeding ticket),117.5
12/5/2022,DEP,Income,Transfer from Other,Accidental transfer from savings reimbursement (Dad),100
12/5/2022,POS,Expenses,Gas & Misc.,Venmo for gas (I think) (Jane Doe),50
12/5/2022,POS,Expenses,Gas & Misc.,Venmo for gas (I think) again (Jane Doe),25
12/5/2022,POS,Expenses,Groceries,Venmo for groceries (Jane Doe),8
12/8/2022,POS,Expenses,Credit Card,Paid off credit card,496.41
12/9/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,181.33
12/19/2022,DEP,Income,Transfer from Other,Venmo cashout,64
12/19/2022,POS,Expenses,Other,Wrote Mom a check,100
12/23/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,575
12/27/2022,POS,Expenses,Credit Card,Paid off credit card,327.64
12/28/2022,DEP,Income,Deposit Other,Deposit check from College University and Christmas $100,600
12/29/2022,POS,Expenses,Education/Training,Credit card for Coursera SQL Course and Chegg bill,62.79
1/1/2023,POS,Expenses,Recreation,Venmo for unicorn pinata (Jane Doe),20
1/6/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,1207.46
1/9/2023,POS,Expenses,Groceries,Groceries at Walmart,34.79
1/9/2023,POS,Expenses,Credit Card,Paid off credit card,60.34
1/13/2023,DEP,Income,Deposit Other,Venmo cashout,30
1/13/2023,POS,Expenses,Other,Venmo for door mat (Brandon Clausen),13
1/17/2023,DEP,Income,Deposit Other,Venmo cashout,27
1/18/2023,DEP,Income,Transfer from Savings,Transfer from Big Savings Bank,1800
1/20/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,772.36
1/20/2023,POS,Expenses,Education/Training,College University Tuition and Fees,5325.6
1/25/2023,POS,Expenses,Groceries,Venmo for Oreos (John Doe),2
1/27/2023,POS,Expenses,Recreation,Venmo for Dragonflys (Rod DeHaven),96
1/30/2023,POS,Expenses,Credit Card,Paid off credit card,25
1/31/2023,DEP,Income,Deposit Other,Venmo cashout,77
1/31/2023,POS,Expenses,Chegg,Venmo for something and chegg (Jane Doe),45
2/3/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,339.99
2/8/2023,DEP,Income,Deposit Other,First Money Bank Rewards,525
2/8/2023,POS,Expenses,Credit Card,Paid off credit card,483.5
2/10/2023,DEP,Income,Deposit Other,Deposit cash,112.46
2/14/2023,POS,Expenses,Gas & Misc.,New tires and gas,1028.84
2/17/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,835.4
3/3/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,438.85
3/7/2023,POS,Expenses,Credit Card,Paid off credit card,574.35
3/10/2023,POS,Expenses,Groceries,Venmo for groceries for spring break (Jane Doe),73
3/13/2023,POS,Expenses,Other,Bought something at a gas station,1.94
3/15/2023,POS,Expenses,Recreation,Venmo for skiing in Arizona (Jane Doe),165
3/15/2023,POS,Expenses,Groceries,Venmo for groceries for spring break (Jane Doe),74
3/15/2023,POS,Expenses,Dining Out,Venmo for green chili burger in Arizona (Jane Doe),18
3/15/2023,POS,Expenses,Recreation,Venmo for AZ Snow Bowl sweatshirt (John Doe),57
3/17/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,384
3/20/2023,DEP,Income,Deposit Other,Venmo cashout,20
3/20/2023,DEP,Income,Deposit Other,Venmo cashout,107.71
3/20/2023,POS,Expenses,Recreation,Root beer float for Jane,5.53
3/20/2023,POS,Expenses,Dining Out,Venmo for Chipotle (Jane Doe),7
3/20/2023,POS,Expenses,Gas & Misc.,Venmo for gas for spring break (Jane Doe),267.98
3/20/2023,POS,Expenses,Credit Card,Paid off credit card,265.53
3/23/2023,POS,Expenses,Recreation,Bought a cupcake for Dad's birthday (Colorado),4.88
3/25/2023,POS,Expenses,Apple Music,Apple Music,6.38
3/26/2023,POS,Expenses,Recreation,Bought Taco Bell,5.38
3/27/2023,POS,Expenses,Chegg,Chegg,21.25
3/30/2023,POS,Expenses,Gas & Misc.,Gas,50
3/31/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,438.83
4/3/2023,POS,Expenses,Gas & Misc.,Gas,35
4/4/2023,ACH,Savings,Big Savings Bank,Transfer to savings,800
4/5/2023,POS,Expenses,Education/Training,USD Early Bird registration fee,29
4/6/2023,POS,Expenses,Dining Out,Venmo for Hy-Chi (Jane Doe),5.37
4/7/2023,POS,Expenses,Groceries,Groceries - GroceryMart,9.24
4/7/2023,POS,Expenses,Groceries,Bought Body Armour for race,3.51
4/10/2023,DEP,Income,Deposit Other,Venmo cashout,10
4/10/2023,POS,Expenses,Recreation,Bought sandwhich at Jimmy John's,8.58
4/10/2023,POS,Expenses,Recreation,Venmo for cheeseball (John Doe),0.11
4/10/2023,POS,Expenses,Recreation,Bought supper in Verm with John Doe (Old Lumber Co.),16.75
4/10/2023,POS,Expenses,Gas & Misc.,Gas,50
4/10/2023,POS,Expenses,Other,Venmo for Mom's birthday gift (Menards giftcard) (Caden Lackey),25
4/10/2023,POS,Expenses,Gas & Misc.,Gas,61
4/10/2023,POS,Expenses,Recreation,Venmo for losing at Easter poker (Ella Doe),5
4/11/2023,POS,Expenses,Dining Out,Venmo for Applebees (Jane Doe),0.01
4/11/2023,DEP,Income,Deposit Other,Venmo cashout,10.02
4/11/2023,POS,Expenses,Gas & Misc.,College University Parking ticket,25
4/11/2023,POS,Expenses,Dining Out,Went to Applebees,44.72
4/12/2023,POS,Expenses,Recreation,Bought Icee at Caseys,1.39
4/12/2023,POS,Expenses,Groceries,Bought ice at Walmart,4.88
4/12/2023,POS,Expenses,Groceries,Venmo for contact solution (Jane Doe),19
4/14/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,249.35
4/17/2023,DEP,Income,Deposit Other,Deposit check from Mom,100
4/17/2023,DEP,Income,Transfer from Savings,Closed First Money Bank Savings Account,301.22
4/17/2023,POS,Expenses,Groceries,Venmo for beef and broccoli (Jane Doe),11.53
4/17/2023,POS,Expenses,Groceries,Venmo for Ice Cream (Jane Doe),6
4/20/2023,POS,Expenses,Recreation,ATM withdrawal to buy gravel bike,450
4/20/2023,POS,Expenses,Gas & Misc.,Gas,40
4/20/2023,POS,Expenses,Health Care,Eye Doctor,586.4
4/20/2023,POS,Expenses,Gas & Misc.,Gas,56.8
4/20/2023,POS,Expenses,Health Care,Eye doctor co-pay,89
4/24/2023,DEP,Income,Transfer from Other,Transfer from Dad (eye doctor),550
4/24/2023,POS,Expenses,Recreation,Venmo sparkling water (Brandon Clausen) ,4
4/24/2023,POS,Expenses,Gas & Misc.,Gas,50
4/24/2023,POS,Expenses,Recreation,Bought drink at gas station,3.4
4/24/2023,POS,Expenses,Gas & Misc.,Gas,18.87
4/25/2023,POS,Expenses,Education/Training,Race entry fee for Kip Janvrin Invite,34
4/24/2023,POS,Expenses,Apple Music,Apple Music,6.38
4/26/2023,POS,Expenses,Gas & Misc.,Parking ticket,30
4/27/2023,POS,Expenses,Chegg,Chegg,21.25
4/27/2023,POS,Expenses,Recreation,Venmo for Body Armor (Cooper Greenslade),3.69
4/28/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,498.1
4/28/2023,POS,Expenses,Gas & Misc.,Venmo for gas money (Josh Becker),18.69
4/28/2023,POS,Expenses,Recreation,Bought Tato-Lays in Des Moines,2.78
4/28/2023,POS,Expenses,Recreation,Bought Taco Bell,10.63
4/28/2023,POS,Expenses,Recreation,Bought Jimmy John's,10.37
4/28/2023,POS,Expenses,Gas & Misc.,Gas,4
4/29/2023,POS,Expenses,Groceries,Bought chicken breast and pesto sauce packet,10.65
5/1/2023,DEP,Income,Deposit Other,Venmo cashout,31.69
5/1/2023,DEP,Income,Transfer from Savings,Empties savings account,0.02
5/2/2023,POS,Expenses,Education/Training,USD Tune Up entry fee,29
5/3/2023,POS,Expenses,Recreation,Bought Cadburry Eggs for Jane,21.29
5/5/2023,POS,Expenses,Gas & Misc.,Gas,53.08
5/5/2023,POS,Expenses,Recreation,TC Summerfest tickets (Imagine Dragons concert)(bought for everyone),825
5/5/2023,POS,Expenses,Recreation,TC Summerfest tickets (Imagine Dragons concert)(bought for Elizabeth),275
5/5/2023,DEP,Income,Deposit Other,Venmo cashout,4.2
5/7/2023,POS,Expenses,Gas & Misc.,Gas,40
5/7/2023,POS,Expenses,Gas & Misc.,Gas,10
5/7/2023,POS,Expenses,Recreation,Bought $5 shirt at Men's Wearhouse,5.29
5/8/2023,POS,Expenses,Recreation,Bought Birks at Scheels (wrong size),118.45
5/8/2023,POS,Expenses,Recreation,Traded in Birks for different model,10.6
5/8/2023,DEP,Income,Deposit Other,Scheels refund for spring break hiking pants,42.59
5/8/2023,DEP,Income,Deposit Other,Venmo cashout,825
5/8/2023,POS,Expenses,Groceries,Bought yogurt at Sam's Club,29.03
5/9/2023,POS,Expenses,Recreation,"Bought Birk ""goop""",10.65
5/9/2023,POS,Expenses,Health Care,Chiropractor,30
5/11/2023,POS,Expenses,Recreation,Bought something at Scheels,21.29
5/11/2023,POS,Expenses,Recreation,Coffee,5.86
5/12/2023,POS,Expenses,Health Care,Dakota Dermatology,30
5/12/2023,POS,Expenses,Gas & Misc.,Gas,50
5/12/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,274.28
5/14/2023,POS,Expenses,Groceries,Bought dry black beans,5.87
5/15/2023,POS,Expenses,Haircuts,Haircut,23.11
5/16/2023,POS,Expenses,Recreation,Bought a hammock,74.5
5/16/2023,POS,Expenses,Gas & Misc.,Oil change,47.91
5/17/2023,POS,Expenses,Gas & Misc.,Gas,50
5/17/2023,POS,Expenses,Recreation,Bought correct hammock,47.87
5/17/2023,DEP,Income,Deposit Other,Scheels refund for hammock,15.98
5/22/2023,POS,Expenses,Groceries,Bought drinks at Caysey's,8.86
5/25/2023,POS,Expenses,Apple Music,Apple Music,6.38
5/25/2023,POS,Expenses,Rent,Rest of Security Depost (the house),175
5/26/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,1598.42
5/26/2023,POS,Expenses,Gas & Misc.,Gas,50
5/27/2023,POS,Expenses,Recreation,Bought stuff for planting basil,11.26
5/27/2023,POS,Expenses,Recreation,Potting stuff at Dollar Store,23.96
5/28/2023,POS,Expenses,Recreation,Potting stuff at ACE,13.83
5/30/2023,POS,Expenses,Groceries,Bought a coffee,4.04
5/30/2023,POS,Expenses,Dining Out,Went to Qdoba,13.12
5/31/2023,ACH,Savings,Big Savings Bank,Transfer to savings,700
6/1/2023,POS,Expenses,Dining Out,Got ice cream,9.6
6/2/2023,POS,Expenses,Groceries,Bought a coffee,4.04
6/4/2023,POS,Expenses,Other,Bought Mom Tuna,1.86
6/4/2023,POS,Expenses,Groceries,Bought a sparkling water,1.27
6/8/2023,POS,Expenses,Rent,Rent (June),350
6/9/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,556.76
6/10/2023,POS,Expenses,Other,Bought a mattress,212.99
6/10/2023,POS,Expenses,Groceries,Bought pesto stuff at GroceryPlus,12.28
6/10/2023,POS,Expenses,Recreation,Bought a coffee at Sioux Falls Farmer's Market,7.34
6/11/2023,POS,Expenses,Other,Bought Dad a Father's Day card,4.25
6/13/2023,POS,Expenses,Recreation,Bought Noah Kahan ticket with Andrew,81.1
6/15/2023,DEP,Income,Deposit TWO,Engineering Inc,1077.41
6/16/2023,POS,Expenses,Groceries,Bought Dad grapefruit sparkling waters,4.25
6/16/2023,POS,Expenses,Groceries,Groceries - Walmart,17.23
6/16/2023,POS,Expenses,Other,Bought Dad a Father's Day gift,26.41
6/16/2023,POS,Expenses,Recreation,Bought Clothes at Plato's Closet,22.52
6/22/2023,POS,Expenses,Groceries,Got ice cream,4.26
6/23/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,561.65
6/23/2023,POS,Expenses,Groceries,Bought deodorant,5.31
6/23/2023,POS,Expenses,Other,Bought Dad a Salted Nut Roll,3.18
6/23/2023,POS,Expenses,Dining Out,Got ice cream,16.17
6/24/2023,POS,Expenses,Recreation,Bought a swimsuit at Walmart,9.56
6/24/2023,POS,Expenses,Recreation,Bought a chocolate bar and bowls to pick strawberries,2.47
6/25/2023,POS,Expenses,Groceries,Bought stuff for skillet nachos,20.5
6/25/2023,POS,Expenses,Groceries,Bought Powerade and Bubblr for the school year,53.28
6/25/2023,POS,Expenses,Apple Music,Apple Music,6.38
6/25/2023,POS,Expenses,Gas & Misc.,Gas,50
6/26/2023,POS,Expenses,Gifts,One year anniversary dinner,46.37
6/26/2023,POS,Expenses,Other,Wrote Mom a check,100
6/28/2023,DEP,Income,Deposit Other,Venmo cashout,10
6/30/2023,DEP,Income,Deposit TWO,Engineering Inc,1162.87
6/30/2023,ACH,Savings,Big Savings Bank,Transfer to savings,1500
7/5/2023,POS,Expenses,Rent,Rent (July),350
7/5/2023,POS,Expenses,Gas & Misc.,Gas,60
7/6/2023,POS,Expenses,Recreation,Went to Subway,7.87
7/6/2023,POS,Expenses,Groceries,Groceries at Walmart,27.42
7/7/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,507.88
7/7/2023,ACH,Savings,Big Savings Bank,Transfer to savings,660
7/7/2023,POS,Expenses,Gas & Misc.,Gas,52
7/8/2023,POS,Expenses,Dining Out,Date night with Jane,49.51
7/8/2023,POS,Expenses,Recreation,Coffee,10.97
7/11/2023,POS,Expenses,Fitness,Bought new running shoes,144.92
7/11/2023,POS,Expenses,Recreation,Bought biking shorts,44.58
7/12/2023,POS,Expenses,Recreation,Bike tune up,75
7/14/2023,DEP,Income,Deposit TWO,Engineering Inc,1174.28
7/14/2023,POS,Expenses,Recreation,Bought stuff at T.J. Maxx,18.03
7/14/2023,POS,Expenses,Other,Rug Doctor for the house,54.14
7/14/2023,POS,Expenses,Gas & Misc.,Gas,50
7/15/2023,POS,Expenses,Recreation,Ate at 5 Guys in Minneapolis,12.66
7/17/2023,POS,Expenses,Recreation,Venmo for Juniors in Minneapolis (John Doe),13
7/17/2023,POS,Expenses,Groceries,Venmo for gas station bevs (John Doe),4
7/17/2023,POS,Expenses,Recreation,Venmo for Ball Park Brat (John Doe),12
7/17/2023,POS,Expenses,Gas & Misc.,Venmo for gas (John Doe),16.34
7/17/2023,POS,Expenses,Recreation,Venmo for dough nuts (John Doe),4
7/17/2023,ACH,Savings,Big Savings Bank,Transfer to savings,600
7/17/2023,DEP,Income,Deposit Other,Venmo cashout,27.5
7/17/2023,DEP,Income,Deposit Other,First Money Bank Rewards,25
7/18/2023,POS,Expenses,Recreation,Went to Starbucks,11.68
7/19/2023,POS,Expenses,Gas & Misc.,Gas,50
7/21/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,639.85
7/22/2023,POS,Expenses,Gas & Misc.,Gas,50
7/22/2023,POS,Expenses,Recreation,PepperJax in Omaha,15.32
7/23/2023,POS,Expenses,Recreation,Bought Jimmy John's,9.13
7/24/2023,POS,Expenses,Groceries,Bought food at gas station,7.81
7/24/2023,POS,Expenses,Gas & Misc.,Gas,20
7/24/2023,POS,Expenses,Gas & Misc.,Gas,50
7/24/2023,POS,Expenses,Other,Withdrew money for kayak (didn't buy),100
7/24/2023,POS,Expenses,Gifts,Bought Jane birthday present (Vuori shorts),42
7/24/2023,ACH,Savings,Big Savings Bank,Transfer to savings,250
7/25/2023,DEP,Income,Deposit Other,Deposit money for kayak (didn't buy),100
7/25/2023,POS,Expenses,Apple Music,Apple Music,6.36
7/6/2023,POS,Expenses,Dining Out,Went to Pita Pit,22.49
7/26/2023,POS,Expenses,Recreation,Bike tune up,193.67
7/27/2023,POS,Expenses,Dining Out,Went to Dairy Queen,11.88
7/28/2023,POS,Expenses,Other,Bought spray paint at ACE,15.92
7/28/2023,DEP,Income,Deposit Other,Deposit check from Happy Health Hospital,30
7/29/2023,POS,Expenses,Other,Bought new phone case,28.65
7/30/2023,POS,Expenses,Recreation,Bought Mom a sundae,4.37
7/30/2023,POS,Expenses,Other,Bought more spray paint,13.76
7/30/2023,POS,Expenses,Haircuts,Haircut,31
7/30/2023,POS,Expenses,Other,Bought aphid spray at ACE,16.97
7/31/2023,DEP,Income,Deposit TWO,Engineering Inc,820.21
7/31/2023,POS,Expenses,Groceries,Bought a Celcius at work,3.28
8/1/2023,ACH,Savings,Big Savings Bank,Transfer to savings,750
8/3/2023,POS,Expenses,Groceries,Venmo for pesto stuff (Jane Doe),11
8/3/2023,POS,Expenses,Utilities,Venmo for utilities (June) (Daniel Burkhalter),20.11
8/3/2023,POS,Expenses,Rent,Rent (August),350
8/4/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,471.76
8/4/2023,ACH,Savings,Big Savings Bank,Transfer to savings,300
8/4/2023,POS,Expenses,Gifts,Bought Kara Paulson a Diet Coke on last day of CAPITAL,2.54
8/7/2023,DEP,Income,Deposit Other,Venmo cashout,3.2
8/7/2023,POS,Expenses,Recreation,Venmo for movie theater candy (Jane Doe),3.2
8/7/2023,POS,Expenses,Recreation,Hot Yoga,19.12
8/8/2023,POS,Expenses,Gas & Misc.,Oil change,64.73
8/8/2023,POS,Expenses,Gas & Misc.,Gas,68.51
8/9/2023,POS,Expenses,Groceries,Groceries - Costco,124.7
8/11/2023,POS,Expenses,Other,Bought bed frame (returned),74.33
8/12/2023,POS,Expenses,Gas & Misc.,Gas,50
8/14/2023,POS,Expenses,Groceries,Bought tea at gas station on the way to Bozeman,2.02
8/15/2023,DEP,Income,Deposit TWO,Engineering Inc,1160.35
8/15/2023,POS,Expenses,Groceries,Bought lunch at Walmart in Bozeman,14.97
8/15/2023,POS,Expenses,Dining Out,Got ice cream,14.95
8/15/2023,POS,Expenses,Recreation,Got coffee,7.15
8/16/2023,POS,Expenses,Recreation,Bought new Goodrs,25
8/16/2023,POS,Expenses,Dining Out,Paid for lunch with Paxton and Jane,70.71
8/18/2023,POS,Expenses,Gifts,Bought Dad Huckleberry Tea,14.58
8/18/2023,POS,Expenses,Groceries,Bought bag of coffee in Bozeman,17.6
8/18/2023,POS,Expenses,Gifts,"Bought ""Hangry"" towel",13
8/18/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,1064.33
8/18/2023,POS,Expenses,Other,Venmo for sandwich stuff (Jane Doe),10.47
8/19/2023,POS,Expenses,Education/Training,Bought school supplies,20.86
8/19/2023,POS,Expenses,Gas & Misc.,Bought food at gas station,10.27
8/20/2023,POS,Expenses,Groceries,Groceries - GroceryMart,60.6
8/20/2023,POS,Expenses,Groceries,Groceries - Walmart,76.28
8/20/2023,POS,Expenses,Groceries,Groceries - Walmart,37.53
8/21/2023,POS,Expenses,Groceries,Groceries - GroceryMart,2.64
8/21/2023,POS,Expenses,Groceries,Groceries - GroceryMart,39.76
8/24/2023,POS,Expenses,Groceries,Groceries - Walmart,9.88
8/24/2023,DEP,Income,Transfer from Savings,Transfer from savings,2900
8/24/2023,POS,Expenses,Education/Training,College University Tuition and Fees,3876.8
8/25/2023,POS,Expenses,Apple Music,Apple Music,6.36
8/26/2023,POS,Expenses,Groceries,Groceries - GroceryMart,5.3
8/26/2023,POS,Expenses,Groceries,Groceries - Walmart,12.21
8/27/2023,POS,Expenses,Groceries,Groceries - GroceryMart,37.76
8/27/2023,POS,Expenses,Gas & Misc.,Gas,50
8/28/2023,POS,Expenses,Recreation,Venmo for jukebox (Caden Lackey),3.5
8/28/2023,DEP,Income,Deposit Other,Venmo cashout,51.5
8/28/2023,POS,Expenses,Dining Out,Venmo for breakfast muffins (Jane Doe),3.18
8/30/2023,POS,Expenses,Health Care,Chiropractor,30
8/30/2023,POS,Expenses,Gas & Misc.,Gas,60
8/31/2023,DEP,Income,Deposit TWO,Engineering Inc,617.72
9/1/2023,DEP,Income,Deposit ONE,Corporate Industries Paycheck,791.41
9/1/2023,POS,Expenses,Dining Out,Went to Tropical Smoothie,6.64
9/3/2023,POS,Expenses,Other,Bought new shoes,153.99
9/5/2023,DEP,Income,Deposit Other,Deposit check from Mom,100
